差分ID,物件番号,差分検出日,更新フィールド,更新前,更新後
20251213_4607,100136892743,2025-12-13,築年月,1997年（平成 9年） 2月,1997年（平成 9年） 2月
20251213_4608,100136893712,2025-12-13,築年月,1979年（昭和54年） 3月,1979年（昭和54年） 3月
20251213_4609,100136893812,2025-12-13,築年月,2000年（平成12年） 6月,2000年（平成12年） 6月
20251213_461,100132173786,2025-12-13,築年月,1986年（昭和61年） 2月,1986年（昭和61年） 2月
20251213_4610,100136894063,2025-12-13,築年月,1977年（昭和52年） 3月,1977年（昭和52年） 3月
20251213_4611,100136894098,2025-12-13,築年月,2018年（平成30年） 9月,2018年（平成30年） 9月
20251213_4612,100136894213,2025-12-13,築年月,2020年（令和 2年）10月,2020年（令和 2年）10月
20251213_4613,100136895387,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_4614,100136895487,2025-12-13,築年月,1984年（昭和59年） 8月,1984年（昭和59年） 8月
20251213_4615,100136896485,2025-12-13,築年月,2002年（平成14年） 9月,2002年（平成14年） 9月
20251213_4616,100136896488,2025-12-13,築年月,2020年（令和 2年） 1月,2020年（令和 2年） 1月
20251213_4617,100136898154,2025-12-13,築年月,2026年（令和 8年） 5月,2026年（令和 8年） 5月
20251213_4618,100136898795,2025-12-13,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251213_4619,100136899604,2025-12-13,築年月,1999年（平成11年） 1月,1999年（平成11年） 1月
20251213_462,100132210023,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_4620,100136900851,2025-12-13,築年月,2005年（平成17年） 8月,2005年（平成17年） 8月
20251213_4621,100136901082,2025-12-13,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251213_4622,100136901605,2025-12-13,築年月,1984年（昭和59年） 2月,1984年（昭和59年） 2月
20251213_4623,100136902124,2025-12-13,築年月,1983年（昭和58年） 2月,1983年（昭和58年） 2月
20251213_4624,100136902288,2025-12-13,築年月,1997年（平成 9年） 2月,1997年（平成 9年） 2月
20251213_4625,100136902291,2025-12-13,築年月,1998年（平成10年） 1月,1998年（平成10年） 1月
20251213_4626,100136902293,2025-12-13,築年月,2002年（平成14年） 5月,2002年（平成14年） 5月
20251213_4627,100136902329,2025-12-13,築年月,2003年（平成15年） 3月,2003年（平成15年） 3月
20251213_4628,100136903128,2025-12-13,築年月,1989年（平成 1年） 1月,1989年（平成 1年） 1月
20251213_4629,100136903192,2025-12-13,築年月,1972年（昭和47年） 2月,1972年（昭和47年） 2月
20251213_463,100132217009,2025-12-13,築年月,2004年（平成16年） 9月,2004年（平成16年） 9月
20251213_4630,100136903201,2025-12-13,築年月,2016年（平成28年） 3月,2016年（平成28年） 3月
20251213_4631,100136903603,2025-12-13,築年月,1965年（昭和40年） 3月,1965年（昭和40年） 3月
20251213_4632,100136904060,2025-12-13,築年月,2017年（平成29年） 8月,2017年（平成29年） 8月
20251213_4633,100136904091,2025-12-13,築年月,2002年（平成14年） 9月,2002年（平成14年） 9月
20251213_4634,100136904159,2025-12-13,築年月,2009年（平成21年） 5月,2009年（平成21年） 5月
20251213_4635,100136904556,2025-12-13,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251213_4636,100136904582,2025-12-13,築年月,1995年（平成 7年） 3月,1995年（平成 7年） 3月
20251213_4637,100136904651,2025-12-13,築年月,1977年（昭和52年） 7月,1977年（昭和52年） 7月
20251213_4638,100136904663,2025-12-13,築年月,1978年（昭和53年） 8月,1978年（昭和53年） 8月
20251213_4639,100136904720,2025-12-13,築年月,1982年（昭和57年） 4月,1982年（昭和57年） 4月
20251213_464,100132243088,2025-12-13,築年月,2006年（平成18年） 8月,2006年（平成18年） 8月
20251213_4640,100136905058,2025-12-13,築年月,2025年（令和 7年） 6月,2025年（令和 7年） 6月
20251213_4641,100136905156,2025-12-13,築年月,1970年（昭和45年） 8月,1970年（昭和45年） 8月
20251213_4642,100136905947,2025-12-13,築年月,1977年（昭和52年） 9月,1977年（昭和52年） 9月
20251213_4643,100136906319,2025-12-13,築年月,2001年（平成13年） 3月,2001年（平成13年） 3月
20251213_4644,100136906651,2025-12-13,築年月,1980年（昭和55年） 1月,1980年（昭和55年） 1月
20251213_4645,100136906658,2025-12-13,築年月,2015年（平成27年） 4月,2015年（平成27年） 4月
20251213_4646,100136906659,2025-12-13,築年月,2024年（令和 6年） 5月,2024年（令和 6年） 5月
20251213_4647,100136907317,2025-12-13,築年月,2012年（平成24年） 1月,2012年（平成24年） 1月
20251213_4648,100136907974,2025-12-13,築年月,2012年（平成24年） 2月,2012年（平成24年） 2月
20251213_4649,100136908668,2025-12-13,築年月,2005年（平成17年） 2月,2005年（平成17年） 2月
20251213_465,100132310880,2025-12-13,築年月,1982年（昭和57年） 3月,1982年（昭和57年） 3月
20251213_4650,100136910488,2025-12-13,築年月,2025年（令和 7年） 2月,2025年（令和 7年） 2月
20251213_4651,100136911950,2025-12-13,築年月,2004年（平成16年） 9月,2004年（平成16年） 9月
20251213_4652,100136912316,2025-12-13,築年月,2007年（平成19年） 8月,2007年（平成19年） 8月
20251213_4653,100136912427,2025-12-13,築年月,1973年（昭和48年） 2月,1973年（昭和48年） 2月
20251213_4654,100136912803,2025-12-13,築年月,2003年（平成15年） 8月,2003年（平成15年） 8月
20251213_4655,100136912807,2025-12-13,築年月,2003年（平成15年） 8月,2003年（平成15年） 8月
20251213_4656,100136913031,2025-12-13,築年月,2004年（平成16年） 5月,2004年（平成16年） 5月
20251213_4657,100136913121,2025-12-13,築年月,1990年（平成 2年）12月,1990年（平成 2年）12月
20251213_4658,100136913235,2025-12-13,築年月,2020年（令和 2年） 1月,2020年（令和 2年） 1月
20251213_4659,100136913939,2025-12-13,築年月,2023年（令和 5年） 2月,2023年（令和 5年） 2月
20251213_466,100132320340,2025-12-13,築年月,1970年（昭和45年） 4月,1970年（昭和45年） 4月
20251213_4660,100136914073,2025-12-13,築年月,2026年（令和 8年）11月,2026年（令和 8年）11月
20251213_4661,100136914395,2025-12-13,築年月,2002年（平成14年） 2月,2002年（平成14年） 2月
20251213_4662,100136914767,2025-12-13,築年月,1972年（昭和47年） 3月,1972年（昭和47年） 3月
20251213_4663,100136914780,2025-12-13,築年月,1968年（昭和43年） 8月,1968年（昭和43年） 8月
20251213_4664,100136914792,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_4665,100136916082,2025-12-13,築年月,2022年（令和 4年） 3月,2022年（令和 4年） 3月
20251213_4666,100136916101,2025-12-13,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251213_4667,100136916448,2025-12-13,築年月,2014年（平成26年） 1月,2014年（平成26年） 1月
20251213_4668,100136916452,2025-12-13,築年月,2005年（平成17年） 2月,2005年（平成17年） 2月
20251213_4669,100136916468,2025-12-13,築年月,1997年（平成 9年）10月,1997年（平成 9年）10月
20251213_467,100132326259,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_4670,100136916753,2025-12-13,築年月,2006年（平成18年） 7月,2006年（平成18年） 7月
20251213_4671,100136917825,2025-12-13,築年月,2002年（平成14年） 9月,2002年（平成14年） 9月
20251213_4672,100136920036,2025-12-13,築年月,1994年（平成 6年） 8月,1994年（平成 6年） 8月
20251213_4673,100136920062,2025-12-13,築年月,2000年（平成12年） 4月,2000年（平成12年） 4月
20251213_4674,100136920080,2025-12-13,築年月,1984年（昭和59年） 6月,1984年（昭和59年） 6月
20251213_4675,100136920081,2025-12-13,築年月,2017年（平成29年） 4月,2017年（平成29年） 4月
20251213_4676,100136920112,2025-12-13,築年月,1996年（平成 8年） 2月,1996年（平成 8年） 2月
20251213_4677,100136920396,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_4678,100136920525,2025-12-13,築年月,1984年（昭和59年） 3月,1984年（昭和59年） 3月
20251213_4679,100136920614,2025-12-13,築年月,2000年（平成12年） 1月,2000年（平成12年） 1月
20251213_468,100132357416,2025-12-13,築年月,1970年（昭和45年） 8月,1970年（昭和45年） 8月
20251213_4680,100136920638,2025-12-13,築年月,2009年（平成21年） 6月,2009年（平成21年） 6月
20251213_4681,100136920657,2025-12-13,築年月,1983年（昭和58年） 6月,1983年（昭和58年） 6月
20251213_4682,100136920691,2025-12-13,築年月,1978年（昭和53年） 8月,1978年（昭和53年） 8月
20251213_4683,100136920736,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_4684,100136920818,2025-12-13,築年月,1979年（昭和54年） 9月,1979年（昭和54年） 9月
20251213_4685,100136921433,2025-12-13,築年月,1985年（昭和60年） 3月,1985年（昭和60年） 3月
20251213_4686,100136921446,2025-12-13,築年月,2011年（平成23年） 5月,2011年（平成23年） 5月
20251213_4687,100136921467,2025-12-13,築年月,1986年（昭和61年） 3月,1986年（昭和61年） 3月
20251213_4688,100136921550,2025-12-13,築年月,1973年（昭和48年） 3月,1973年（昭和48年） 3月
20251213_4689,100136921748,2025-12-13,築年月,2012年（平成24年） 2月,2012年（平成24年） 2月
20251213_469,100132359378,2025-12-13,築年月,2005年（平成17年） 7月,2005年（平成17年） 7月
20251213_4690,100136921960,2025-12-13,築年月,1985年（昭和60年） 1月,1985年（昭和60年） 1月
20251213_4691,100136922096,2025-12-13,築年月,2014年（平成26年） 8月,2014年（平成26年） 8月
20251213_4692,100136922100,2025-12-13,築年月,1968年（昭和43年） 8月,1968年（昭和43年） 8月
20251213_4693,100136922120,2025-12-13,築年月,2005年（平成17年） 2月,2005年（平成17年） 2月
20251213_4694,100136922121,2025-12-13,築年月,1978年（昭和53年） 1月,1978年（昭和53年） 1月
20251213_4695,100136922137,2025-12-13,築年月,2004年（平成16年） 2月,2004年（平成16年） 2月
20251213_4696,100136922139,2025-12-13,築年月,2008年（平成20年） 1月,2008年（平成20年） 1月
20251213_4697,100136922508,2025-12-13,築年月,2009年（平成21年） 6月,2009年（平成21年） 6月
20251213_4698,100136922697,2025-12-13,築年月,1974年（昭和49年） 8月,1974年（昭和49年） 8月
20251213_4699,100136922755,2025-12-13,築年月,2008年（平成20年） 9月,2008年（平成20年） 9月
20251213_470,100132365937,2025-12-13,築年月,1984年（昭和59年） 8月,1984年（昭和59年） 8月
20251213_4700,100136922972,2025-12-13,築年月,2023年（令和 5年） 1月,2023年（令和 5年） 1月
20251213_4701,100136923256,2025-12-13,築年月,1999年（平成11年） 1月,1999年（平成11年） 1月
20251213_4702,100136923592,2025-12-13,築年月,2014年（平成26年） 4月,2014年（平成26年） 4月
20251213_4703,100136923691,2025-12-13,築年月,1972年（昭和47年） 8月,1972年（昭和47年） 8月
20251213_4704,100136923804,2025-12-13,築年月,2004年（平成16年） 2月,2004年（平成16年） 2月
20251213_4705,100136923860,2025-12-13,築年月,1984年（昭和59年） 6月,1984年（昭和59年） 6月
20251213_4706,100136923865,2025-12-13,築年月,1997年（平成 9年）10月,1997年（平成 9年）10月
20251213_4707,100136923939,2025-12-13,築年月,1970年（昭和45年） 7月,1970年（昭和45年） 7月
20251213_4708,100136924144,2025-12-13,築年月,1973年（昭和48年） 6月,1973年（昭和48年） 6月
20251213_4709,100136924171,2025-12-13,築年月,2005年（平成17年） 9月,2005年（平成17年） 9月
20251213_471,100132367948,2025-12-13,築年月,2019年（平成31年） 1月,2019年（平成31年） 1月
20251213_4710,100136924180,2025-12-13,築年月,1999年（平成11年） 3月,1999年（平成11年） 3月
20251213_4711,100136924457,2025-12-13,築年月,1982年（昭和57年） 3月,1982年（昭和57年） 3月
20251213_4712,100136924718,2025-12-13,築年月,2005年（平成17年） 1月,2005年（平成17年） 1月
20251213_4713,100136924807,2025-12-13,築年月,1979年（昭和54年） 2月,1979年（昭和54年） 2月
20251213_4714,100136924926,2025-12-13,築年月,1974年（昭和49年） 8月,1974年（昭和49年） 8月
20251213_4715,100136925303,2025-12-13,築年月,2016年（平成28年） 3月,2016年（平成28年） 3月
20251213_4716,100136925812,2025-12-13,築年月,2023年（令和 5年） 8月,2023年（令和 5年） 8月
20251213_4717,100136925868,2025-12-13,築年月,1998年（平成10年） 9月,1998年（平成10年） 9月
20251213_4718,100136925940,2025-12-13,築年月,2017年（平成29年） 8月,2017年（平成29年） 8月
20251213_4719,100136925973,2025-12-13,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251213_472,100132374968,2025-12-13,築年月,1973年（昭和48年） 9月,1973年（昭和48年） 9月
20251213_4720,100136926169,2025-12-13,築年月,1968年（昭和43年） 3月,1968年（昭和43年） 3月
20251213_4721,100136926182,2025-12-13,築年月,2007年（平成19年） 8月,2007年（平成19年） 8月
20251213_4722,100136926186,2025-12-13,築年月,2009年（平成21年） 6月,2009年（平成21年） 6月
20251213_4723,100136926296,2025-12-13,築年月,1983年（昭和58年） 4月,1983年（昭和58年） 4月
20251213_4724,100136926303,2025-12-13,築年月,2026年（令和 8年）11月,2026年（令和 8年）11月
20251213_4725,100136926435,2025-12-13,築年月,2014年（平成26年） 1月,2014年（平成26年） 1月
20251213_4726,100136927030,2025-12-13,築年月,2021年（令和 3年）11月,2021年（令和 3年）11月
20251213_4727,100136927031,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_4728,100136927095,2025-12-13,築年月,1970年（昭和45年） 7月,1970年（昭和45年） 7月
20251213_4729,100136927702,2025-12-13,築年月,1991年（平成 3年） 1月,1991年（平成 3年） 1月
20251213_473,100132404697,2025-12-13,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251213_4730,100136927858,2025-12-13,築年月,2024年（令和 6年）12月,2024年（令和 6年）12月
20251213_4731,100136927871,2025-12-13,築年月,2019年（令和 1年）12月,2019年（令和 1年）12月
20251213_4732,100136928029,2025-12-13,取引状況,公開中,申込あり
20251213_4732,100136928029,2025-12-13,築年月,2020年（令和 2年） 9月,2020年（令和 2年） 9月
20251213_4733,100136928181,2025-12-13,築年月,2009年（平成21年） 6月,2009年（平成21年） 6月
20251213_4734,100136928415,2025-12-13,築年月,2014年（平成26年） 5月,2014年（平成26年） 5月
20251213_4735,100136928551,2025-12-13,築年月,1982年（昭和57年） 1月,1982年（昭和57年） 1月
20251213_4736,100136928594,2025-12-13,築年月,2024年（令和 6年）11月,2024年（令和 6年）11月
20251213_4737,100136928607,2025-12-13,築年月,2007年（平成19年） 8月,2007年（平成19年） 8月
20251213_4738,100136929835,2025-12-13,築年月,2001年（平成13年） 3月,2001年（平成13年） 3月
20251213_4739,100136929943,2025-12-13,築年月,2026年（令和 8年） 5月,2026年（令和 8年） 5月
20251213_474,100132405286,2025-12-13,築年月,2000年（平成12年） 3月,2000年（平成12年） 3月
20251213_4740,100136929944,2025-12-13,築年月,2026年（令和 8年） 5月,2026年（令和 8年） 5月
20251213_4741,100136929950,2025-12-13,築年月,1980年（昭和55年） 7月,1980年（昭和55年） 7月
20251213_4742,100136930064,2025-12-13,築年月,1978年（昭和53年） 9月,1978年（昭和53年） 9月
20251213_4743,100136930300,2025-12-13,築年月,2002年（平成14年） 1月,2002年（平成14年） 1月
20251213_4744,100136930314,2025-12-13,築年月,2021年（令和 3年）11月,2021年（令和 3年）11月
20251213_4745,100136930339,2025-12-13,築年月,1983年（昭和58年） 4月,1983年（昭和58年） 4月
20251213_4746,100136930350,2025-12-13,築年月,1984年（昭和59年） 3月,1984年（昭和59年） 3月
20251213_4747,100136930435,2025-12-13,築年月,1965年（昭和40年） 9月,1965年（昭和40年） 9月
20251213_4748,100136930477,2025-12-13,築年月,2018年（平成30年） 1月,2018年（平成30年） 1月
20251213_4749,100136930478,2025-12-13,築年月,2008年（平成20年） 4月,2008年（平成20年） 4月
20251213_475,100132468812,2025-12-13,築年月,1977年（昭和52年） 2月,1977年（昭和52年） 2月
20251213_4750,100136930490,2025-12-13,築年月,1977年（昭和52年） 9月,1977年（昭和52年） 9月
20251213_4751,100136930546,2025-12-13,築年月,2021年（令和 3年）10月,2021年（令和 3年）10月
20251213_4752,100136930553,2025-12-13,築年月,2022年（令和 4年） 8月,2022年（令和 4年） 8月
20251213_4753,100136930573,2025-12-13,築年月,2007年（平成19年） 1月,2007年（平成19年） 1月
20251213_4754,100136930624,2025-12-13,築年月,2014年（平成26年） 2月,2014年（平成26年） 2月
20251213_4755,100136930625,2025-12-13,築年月,1996年（平成 8年） 9月,1996年（平成 8年） 9月
20251213_4756,100136931034,2025-12-13,築年月,2012年（平成24年） 8月,2012年（平成24年） 8月
20251213_4757,100136931055,2025-12-13,築年月,2025年（令和 7年） 8月,2025年（令和 7年） 8月
20251213_4758,100136931835,2025-12-13,築年月,1985年（昭和60年） 5月,1985年（昭和60年） 5月
20251213_4759,100136932082,2025-12-13,築年月,1977年（昭和52年） 2月,1977年（昭和52年） 2月
20251213_476,100132515723,2025-12-13,築年月,2003年（平成15年） 3月,2003年（平成15年） 3月
20251213_4760,100136932124,2025-12-13,築年月,1986年（昭和61年） 2月,1986年（昭和61年） 2月
20251213_4761,100136934813,2025-12-13,築年月,2008年（平成20年） 1月,2008年（平成20年） 1月
20251213_4762,100136934893,2025-12-13,築年月,2004年（平成16年） 2月,2004年（平成16年） 2月
20251213_4763,100136934901,2025-12-13,築年月,2003年（平成15年） 6月,2003年（平成15年） 6月
20251213_4764,100136934920,2025-12-13,築年月,2023年（令和 5年） 4月,2023年（令和 5年） 4月
20251213_4765,100136934934,2025-12-13,築年月,2005年（平成17年） 8月,2005年（平成17年） 8月
20251213_4766,100136934959,2025-12-13,築年月,1991年（平成 3年） 6月,1991年（平成 3年） 6月
20251213_4767,100136934985,2025-12-13,築年月,2002年（平成14年） 3月,2002年（平成14年） 3月
20251213_4768,100136935513,2025-12-13,築年月,1997年（平成 9年）11月,1997年（平成 9年）11月
20251213_4769,100136935565,2025-12-13,築年月,2023年（令和 5年） 1月,2023年（令和 5年） 1月
20251213_477,100132535413,2025-12-13,築年月,1992年（平成 4年）12月,1992年（平成 4年）12月
20251213_4770,100136935568,2025-12-13,築年月,1980年（昭和55年） 6月,1980年（昭和55年） 6月
20251213_4771,100136935920,2025-12-13,築年月,2019年（平成31年） 2月,2019年（平成31年） 2月
20251213_4772,100136935951,2025-12-13,築年月,1978年（昭和53年） 3月,1978年（昭和53年） 3月
20251213_4773,100136936390,2025-12-13,築年月,1979年（昭和54年） 4月,1979年（昭和54年） 4月
20251213_4774,100136936440,2025-12-13,築年月,2014年（平成26年） 1月,2014年（平成26年） 1月
20251213_4775,100136936481,2025-12-13,築年月,2025年（令和 7年） 9月,2025年（令和 7年） 9月
20251213_4776,100136936927,2025-12-13,築年月,2003年（平成15年） 2月,2003年（平成15年） 2月
20251213_4777,100136937173,2025-12-13,築年月,1998年（平成10年） 2月,1998年（平成10年） 2月
20251213_4778,100136937190,2025-12-13,築年月,2005年（平成17年） 3月,2005年（平成17年） 3月
20251213_4779,100136937203,2025-12-13,築年月,1989年（平成 1年） 3月,1989年（平成 1年） 3月
20251213_478,100132545089,2025-12-13,築年月,1983年（昭和58年） 4月,1983年（昭和58年） 4月
20251213_4780,100136937631,2025-12-13,築年月,1977年（昭和52年） 8月,1977年（昭和52年） 8月
20251213_4781,100136937715,2025-12-13,築年月,1995年（平成 7年）10月,1995年（平成 7年）10月
20251213_4782,100136937844,2025-12-13,築年月,2002年（平成14年） 2月,2002年（平成14年） 2月
20251213_4783,100136938163,2025-12-13,㎡単価,298.9万円,285.1万円
20251213_4783,100136938163,2025-12-13,坪単価,988.0万円,942.2万円
20251213_4783,100136938163,2025-12-13,専有面積,53.54㎡,56.14㎡
20251213_4783,100136938163,2025-12-13,築年月,2006年（平成18年） 1月,2006年（平成18年） 1月
20251213_4784,100136938199,2025-12-13,築年月,2023年（令和 5年）11月,2023年（令和 5年）11月
20251213_4785,100136938430,2025-12-13,築年月,2009年（平成21年） 9月,2009年（平成21年） 9月
20251213_4786,100136938644,2025-12-13,築年月,2010年（平成22年） 3月,2010年（平成22年） 3月
20251213_4787,100136938728,2025-12-13,㎡単価,254.1万円,245.2万円
20251213_4787,100136938728,2025-12-13,価格,"13,980万円","13,490万円"
20251213_4787,100136938728,2025-12-13,坪単価,839.9万円,810.4万円
20251213_4787,100136938728,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_4788,100136938729,2025-12-13,築年月,2025年（令和 7年） 3月,2025年（令和 7年） 3月
20251213_4789,100136938937,2025-12-13,築年月,1984年（昭和59年） 9月,1984年（昭和59年） 9月
20251213_479,100132573635,2025-12-13,築年月,2009年（平成21年） 6月,2009年（平成21年） 6月
20251213_4790,100136939057,2025-12-13,築年月,2016年（平成28年） 5月,2016年（平成28年） 5月
20251213_4791,100136939141,2025-12-13,築年月,2023年（令和 5年） 2月,2023年（令和 5年） 2月
